formula,avg_1st_ionization_potential_(kJ/mol),avg_Allred-Rockow_electronegativity,avg_Atomic_Number,avg_Atomic_Radus,avg_Atomic_Weight,avg_Boiling_Point_(K),avg_Cohesive_energy,avg_Covalent_Radius,avg_Critical_Temperature,avg_Density_(g/mL),avg_Gordy_electonegativity,avg_Melting_point_(K),avg_Mendele_Number,avg_Molar_Denstiy_(mol/ml),avg_Molar_Heat_Capacity(J/mol_K),avg_Nagle_electonegativity,avg_Number_of_unfilled_d_valence_electrons,avg_Number_of_unfilled_f_valence_electrons,avg_Number_of_unfilled_p_valence_electrons,avg_Number_of_unfilled_s_valence_electrons,avg_Orbital_Radius(pm),avg_Pauling_Electronegativity,avg_Period,avg_Zunger_radii_sum,avg_abs_valence,avg_families,avg_gilmor_number_of_valence_electron,avg_group,avg_heat_atomization(kJ/mol),avg_heat_of_fusion_(kJ/mol)_,avg_heat_of_vaporization_(kJ/mol)_,avg_ionic_radius,avg_l_quantum_number,avg_metallic_valence,avg_number_of_valence_electrons,avg_outer_shell_electrons,avg_polarizability(A^3),avg_specific_heat_(J/g_K)_,avg_thermal_conductivity_(W/(m_K))_,avg_valence_d,avg_valence_f,avg_valence_p,avg_valence_s,sum_1st_ionization_potential_(kJ/mol),sum_Allred-Rockow_electronegativity,sum_Atomic_Number,sum_Atomic_Radus,sum_Atomic_Weight,sum_Boiling_Point_(K),sum_Cohesive_energy,sum_Covalent_Radius,sum_Critical_Temperature,sum_Density_(g/mL),sum_Gordy_electonegativity,sum_Melting_point_(K),sum_Mendele_Number,sum_Molar_Denstiy_(mol/ml),sum_Molar_Heat_Capacity(J/mol_K),sum_Nagle_electonegativity,sum_Number_of_unfilled_d_valence_electrons,sum_Number_of_unfilled_f_valence_electrons,sum_Number_of_unfilled_p_valence_electrons,sum_Number_of_unfilled_s_valence_electrons,sum_Orbital_Radius(pm),sum_Pauling_Electronegativity,sum_Period,sum_Zunger_radii_sum,sum_abs_valence,sum_families,sum_gilmor_number_of_valence_electron,sum_group,sum_heat_atomization(kJ/mol),sum_heat_of_fusion_(kJ/mol)_,sum_heat_of_vaporization_(kJ/mol)_,sum_ionic_radius,sum_l_quantum_number,sum_metallic_valence,sum_number_of_valence_electrons,sum_outer_shell_electrons,sum_polarizability(A^3),sum_specific_heat_(J/g_K)_,sum_thermal_conductivity_(W/(m_K))_,sum_valence_d,sum_valence_f,sum_valence_p,sum_valence_s,range_1st_ionization_potential_(kJ/mol),range_Allred-Rockow_electronegativity,range_Atomic_Number,range_Atomic_Radus,range_Atomic_Weight,range_Boiling_Point_(K),range_Cohesive_energy,range_Covalent_Radius,range_Critical_Temperature,range_Density_(g/mL),range_Gordy_electonegativity,range_Melting_point_(K),range_Mendele_Number,range_Molar_Denstiy_(mol/ml),range_Molar_Heat_Capacity(J/mol_K),range_Nagle_electonegativity,range_Number_of_unfilled_d_valence_electrons,range_Number_of_unfilled_f_valence_electrons,range_Number_of_unfilled_p_valence_electrons,range_Number_of_unfilled_s_valence_electrons,range_Orbital_Radius(pm),range_Pauling_Electronegativity,range_Period,range_Zunger_radii_sum,range_abs_valence,range_families,range_gilmor_number_of_valence_electron,range_group,range_heat_atomization(kJ/mol),range_heat_of_fusion_(kJ/mol)_,range_heat_of_vaporization_(kJ/mol)_,range_ionic_radius,range_l_quantum_number,range_metallic_valence,range_number_of_valence_electrons,range_outer_shell_electrons,range_polarizability(A^3),range_specific_heat_(J/g_K)_,range_thermal_conductivity_(W/(m_K))_,range_valence_d,range_valence_f,range_valence_p,range_valence_s,target
Pb2B3O7.5H2,1125.103448,2.864344828,16.62068966,0.713793103,39.23103448,1211.581034,2.837241379,0.801034483,1508.782759,2.056551724,6.925227586,599.7568966,83.75862069,0.053103448,15.60013793,2.846206897,8.620689655,12.06896552,3.448275862,0.137931034,63.3862069,2.762758621,2.413793103,0.869310345,2.689655172,6.517241379,4.413793103,13.03448276,304.4482759,11.24331034,127.6534483,0.768965517,0.862068966,0.957241379,4.413793103,4.413793103,2.063793103,2.677241379,10.49551724,1.379310345,1.931034483,2.551724138,1.862068966,16314,41.533,241,10.35,568.85,17567.925,41.14,11.615,21877.35,29.82,100.4158,8696.475,1214.5,0.77,226.202,41.27,125,175,50,2,919.1,40.06,35,12.605,39,94.5,64,189,4414.5,163.028,1850.975,11.15,12.5,13.88,64,64,29.925,38.82,152.185,20,28,37,27,598,1.756,81,1.06,206.19,4254.75,5.81,1.1,5367,11.4,3.77,2338.1,20,0.22,15.906,1.86,10,14,4,1,76.5,1.57,5,1.62,3,2,5,15,377,49.98,489.25,1.55,1,3,5,5,6.1,14.17,35.27,10,14,4,1,4.42
CsCu2SbS3,814.2857143,2.015714286,30.28571429,1.407142857,68.28285714,1571.307143,2.725714286,1.35,3113.142857,4.67,4.9,725.1214286,68.85714286,0.074285714,24.86857143,1.88,5.714285714,14,3.857142857,0.428571429,121.7571429,2.054285714,4,1.922857143,2.285714286,5.142857143,4,12.28571429,264.8571429,7.602857143,110.6971429,1.392857143,1.142857143,2.982857143,6.571428571,3.285714286,12.61428571,0.477142857,123.2871429,4.285714286,0,2.142857143,1.571428571,5700,14.11,212,9.85,477.98,10999.15,19.08,9.45,21792,32.69,34.3,5075.85,482,0.52,174.08,13.16,40,98,27,3,852.3,14.38,28,13.46,16,36,28,86,1854,53.22,774.88,9.75,8,20.88,46,23,88.3,3.34,863.01,30,0,15,11,624,1.93,39,2.1,100.84,2122.3,2.69,1.23,4107,7.09,2.19,1054.6,83,0.13,9.13,1.7,10,0,4,1,170.8,1.79,3,3.21,4,6,5,15,259,18.15,290.5,1.6,2,4.44,10,5,56.7,0.5,400.73,10,0,4,1,1.63
CeBiW2O9,1123.307692,2.963846154,27.76923077,0.881538462,66.21387462,1387.765385,3.683076923,0.969230769,4723.94,4.231538462,7.561307692,728.7961538,75.84615385,0.023592308,17.84431111,2.929230769,8.538461538,10.69230769,3,0,77.25384615,2.986153846,3.230769231,1.245923077,3.692307692,6.076923077,5.384615385,13.38461538,351.1538462,6.887692308,169.0376923,0.888461538,1.307692308,1.366153846,5.692307692,5,5.100769231,0.680769231,28.27230769,1.461538462,3.307692308,3,2,14603,38.53,361,11.46,860.78037,18040.95,47.88,12.6,61411.22,55.01,98.297,9474.35,986,0.3067,231.9760444,38.08,111,139,39,0,1004.3,38.82,42,16.197,48,79,70,174,4565,89.54,2197.49,11.55,17,17.76,74,65,66.31,8.85,367.54,19,43,39,26,780,2.52,75,1.45,192.98037,5843,6.72,0.92,22345.42,19.3,3.8,3628.4,72,0.105,11.9,2.57,10,14,4,0,152.8,2.32,4,4.03,3,4,3,13,642,35.18,820.59,1.25,2,5.78,3,4,28.81,0.8,173.97,10,14,4,0,2.34
PdPSe,919,2.09,31.66666667,1.233333333,72.11666667,1641.483333,3.26,1.176666667,3283.666667,6.203333333,4.836666667,878.1833333,78,0.076666667,24.88666667,2.046666667,6.666666667,14,3.666666667,0.666666667,80.13333333,2.313333333,4,1.66,2.333333333,6,4.666666667,13.66666667,306.6666667,8.316666667,135.61,1.183333333,1.333333333,3.593333333,7,3.666666667,4.066666667,0.443333333,24.18666667,3.333333333,0,2.333333333,1.333333333,2757,6.27,95,3.7,216.35,4924.45,9.78,3.53,9851,18.61,14.51,2634.55,234,0.23,74.66,6.14,20,42,11,2,240.4,6.94,12,4.98,7,18,14,41,920,24.95,406.83,3.55,4,10.78,21,11,12.2,1.33,72.56,10,0,7,4,208,0.84,31,0.71,75.45,2860,1.43,0.25,6106,10.18,1.97,1509.9,27,0.05,1.69,0.7,10,0,4,2,35.2,0.36,2,1.21,4,3,3,6,151,16.94,344.87,0.4,1,3.78,5,6,1.2,0.53,71.56,10,0,4,2,0.15
Li4.5Mn0.5TeO6,954.2916667,2.399166667,10.5,1.035833333,23.525,849.1333333,2.225416667,1.037916667,1660.29,1.032083333,5.985,320.9291667,53.54166667,0.04,19.95666667,2.3925,8.958333333,14,3.666666667,0.375,96.55833333,2.327083333,2.333333333,1.070416667,2.916666667,4.541666667,4.083333333,10,213,3.194583333,70.22083333,1.01875,0.666666667,0.7825,4.166666667,3.625,10.3575,1.846666667,32.29916667,1.041666667,0,2.333333333,1.625,11451.5,28.79,126,12.43,282.3,10189.6,26.705,12.455,19923.48,12.385,71.82,3851.15,642.5,0.48,239.48,28.71,107.5,168,44,4.5,1158.7,27.925,28,12.845,35,54.5,49,120,2556,38.335,842.65,12.225,8,9.39,50,43.5,124.29,22.16,387.59,12.5,0,28,19.5,794,2.7,49,1.19,120.66,2145,1.29,0.66,4172.42,7.43,5.15,1462.4,89,0.14,11.65,2.68,10,0,4,1,113.6,2.46,3,1.75,4,6,5,15,120,17.27,222.59,0.85,2,5.78,6,5,23.51,3.4,84.67,10,0,4,1,1.97
Cu0.9Ga1.1Se2.1,800.8536585,2.122926829,32.09756098,1.210731707,73.09829268,1832.19878,2.78,1.235121951,4134.292683,6.003170732,4.872439024,630.0231707,79.48780488,0.082926829,25.16634146,1.933170732,7.804878049,14,3.682926829,0.219512195,106.8073171,2.208780488,4,1.564634146,2.317073171,5.804878049,4.317073171,14.09756098,267.195122,7.79097561,154.6365854,1.234146341,1.219512195,3.141463415,6.292682927,4.097560976,5.590243902,0.346585366,99.18341463,2.195121951,0,2.317073171,1.780487805,3283.5,8.704,131.6,4.964,299.703,7512.015,11.398,5.064,16950.6,24.613,19.977,2583.095,325.9,0.34,103.182,7.926,32,57.4,15.1,0.9,437.91,9.056,16.4,6.415,9.5,23.8,17.7,57.8,1095.5,31.943,634.01,5.06,5,12.88,25.8,16.8,22.92,1.421,406.652,9,0,9.5,7.3,362,0.67,5,0.42,15.41,1882,1.03,0.22,5863,4.17,2.1,1053.2,25,0.08,1.65,0.8,10,0,4,1,33.6,0.74,0,0.75,4,3,4,5,111,7.46,262.6,0.2,1,3.44,8,5,4.3,0.06,400.48,10,0,4,1,1.593
Er2Te3,757,1.732,58.4,1.642,143.464,2014.23,2.63,1.438,4297.4,7.372,5.53076,1154.45,68,0.05168,26.68568,1.692,4,9.2,3.6,0,134.78,1.756,5.4,2.454,3.2,4.8,4.8,10.8,245,18.454,135.93,1.54,1.8,2.4,4.8,2,12.38,0.188,7.13,6,4.8,2.4,2,3785,8.66,292,8.21,717.32,10071.15,13.15,7.19,21487,36.86,27.6538,5772.25,340,0.2584,133.4284,8.46,20,46,18,0,673.9,8.78,27,12.27,16,24,24,54,1225,92.27,679.65,7.7,9,12,24,10,61.9,0.94,35.65,30,24,12,10,280,1.07,16,1.03,39.66,1878.2,1.1,0.22,4921,2.83,0.2269,1079.5,55,0.0042,2.9142,0.97,10,12,4,0,59.2,0.86,1,1.96,2,3,3,13,120,2.41,208.45,0.35,2,1,3,0,17.2,0.03,11.95,10,12,4,0,0.9
BaAgSbS3,844.6666667,2.083333333,33.66666667,1.358333333,77.195,1462.5,2.691666667,1.325,3293.666667,4.483333333,5.145,715.8833333,70.5,0.06,24.54,1.963333333,6.666666667,14,3.5,0.166666667,116.15,2.101666667,4.166666667,1.808333333,2.833333333,5.5,4.5,12.66666667,260.5,7.346666667,83.18666667,1.366666667,0.666666667,2.74,6,3.833333333,10.48333333,0.463333333,78.75166667,3.333333333,0,2.5,1.833333333,5068,12.5,202,8.15,463.17,8775,16.15,7.95,19762,26.9,30.87,4295.3,423,0.36,147.24,11.78,40,84,21,1,696.9,12.61,25,10.85,17,33,27,76,1563,44.08,499.12,8.2,4,16.44,36,23,62.9,2.78,472.51,20,0,15,11,497,1.71,40,1.65,105.26,1767.3,1.05,0.96,6166,8.43,2,849.2,79,0.07,5.24,1.51,10,0,4,1,125,1.69,3,2.3,4,5,4,14,104,18.15,240.78,1.15,1,3.44,9,5,36.8,0.51,428.73,10,0,4,1,2.2
Cu0.2In1.8Se2.8,789.2083333,2.117083333,39.41666667,1.24625,91.76541667,1559.691667,2.525416667,1.274166667,3774.541667,5.90875,5.09875,503.5833333,82.70833333,0.063333333,25.65083333,1.980416667,5.833333333,14,3.291666667,0.041666667,110.3375,2.234166667,4.375,1.60625,2.708333333,6.125,4.708333333,14.66666667,237.625,5.66875,121.3166667,1.308333333,1.041666667,2.683333333,5.083333333,4.291666667,6.133333333,0.28875,47.61166667,4.166666667,0,2.708333333,1.958333333,3788.2,10.162,189.2,5.982,440.474,7486.52,12.122,6.116,18117.8,28.362,24.474,2417.2,397,0.304,123.124,9.506,28,67.2,15.8,0.2,529.62,10.724,21,7.71,13,29.4,22.6,70.4,1140.6,27.21,582.32,6.28,5,12.88,24.4,20.6,29.44,1.386,228.536,20,0,13,9.4,383,0.77,20,0.53,51.27,1882,1.03,0.28,4973,4.17,2.1,926.4,25,0.08,2.26,0.8,10,0,4,1,46.4,0.77,1,0.76,4,3,4,5,111,9.79,262.6,0.4,1,3.44,8,5,5.9,0.15,400.48,10,0,4,1,1.26
CdIn,713,1.59,48.5,1.585,113.615,1695.65,1.84,1.46,4845,7.98,4.075,511.9,72.5,0.07,26.13,1.485,0,14,5.5,0,128.3,1.735,5,2.135,0.5,4.5,2,12.5,177.5,4.725,165.535,1.55,0.5,3.94,7.5,2,8.45,0.23,89.2,10,0,0.5,2,1426,3.18,97,3.17,227.23,3391.3,3.68,2.92,9690,15.96,8.15,1023.8,145,0.14,52.26,2.97,0,28,11,0,256.6,3.47,10,4.27,1,9,4,25,355,9.45,331.07,3.1,1,7.88,15,4,16.9,0.46,178.4,20,0,1,4,310,0.14,1,0.05,2.41,1315,1.36,0.04,3770,1.34,0.31,164.3,5,0.02,0.56,0.07,0,0,1,0,19.8,0.09,0,0.17,1,1,2,1,131,2.93,131.93,0,1,1,9,0,2.5,0,15.2,0,0,1,0,0.6
EuSe,744,1.76,48.5,1.67,115.4625,1380.15,2.16,1.505,3178.5,5.015,5.38005,792.65,57,0.04725,26.31185,1.685,10,10.5,4,0,137.2,1.875,5,2.615,5.5,5,4.5,9.5,202.5,7.95,90.6,1.5,2,2,4.5,4,15.75,0.25,7.21,0,3.5,2,2,1488,3.52,97,3.34,230.925,2760.3,4.32,3.01,6357,10.03,10.7601,1585.3,114,0.0945,52.6237,3.37,20,21,8,0,274.4,3.75,10,5.23,11,10,9,19,405,15.9,181.2,3,4,4,9,8,31.5,0.5,14.42,0,7,4,4,394,1.34,29,1.28,73.005,844,0.6,0.69,2843,0.45,0.7599,605,64,0.0255,2.0837,1.25,0,7,4,0,90.8,1.35,2,2.65,3,4,3,13,49,2.52,105.8,0.7,2,0,3,4,23.9,0.14,13.38,0,7,4,0,3.1
GdIn3S6,826.7,2.161,30.7,1.229,69.413,1491.27,2.88,1.205,3674.4,4.225,5.29042,519.11,78,0.05902,25.20175,2.06,6.9,13.3,3.3,0,107.19,2.202,3.9,1.666,2.8,6,4.8,13.8,280.1,3.015,111.27,1.245,1.2,2.532,4.8,4.4,7,0.518,25.702,3.1,0.7,2.7,2,8267,21.61,307,12.29,694.13,14912.7,28.8,12.05,36744,42.25,52.9042,5191.1,780,0.5902,252.0175,20.6,69,133,33,0,1071.9,22.02,39,16.66,28,60,48,138,2801,30.15,1112.7,12.45,12,25.32,48,44,70,5.18,257.02,31,7,27,20,442,1.5,48,1.45,125.18,2828.3,1.62,0.59,7356,5.83,1.62,1200.2,61,0.0098,13.3975,1.39,10,7,4,0,90.3,1.38,3,2.81,3,4,3,13,155,8.33,349.6,0.8,2,1.44,3,4,20.6,0.48,81.33,10,7,4,0,1.13
K3Ga3Ge7Se20,822.6666667,2.121212121,31.93939394,1.233939394,73.14939394,1576.15,2.647575758,1.254545455,3741.484848,4.646060606,5.107878788,614.0878788,77.6969697,0.06030303,25.25575758,2.002121212,10,14,3.060606061,0.090909091,109.8121212,2.210909091,4,1.602727273,3.03030303,6.060606061,4.848484848,13.93939394,251.7272727,12.61030303,123.8184848,1.28030303,0.909090909,2.464242424,4.848484848,4.848484848,8.278787879,0.363636364,26.02121212,0,0,2.939393939,1.909090909,27148,70,1054,40.72,2413.93,52012.95,87.37,41.4,123469,153.32,168.56,20264.9,2564,1.99,833.44,66.07,330,462,101,3,3623.8,72.96,132,52.89,100,200,160,460,8307,416.14,4086.01,42.25,30,81.32,160,160,273.2,12,858.7,0,0,97,63,522,1.7,15,1.4,39.86,2145,2.92,0.8,6643,5.04,2.97,917.6,86,0.06,6.08,1.47,0,0,4,1,124.4,1.73,0,2.4,3,6,5,15,287,34.61,293.2,1.05,1,3,5,5,39.6,0.43,101.88,0,0,4,1,2.23
CsCeCdSe3,766.8333333,1.76,43.83333333,1.588333333,103.72,1397.483333,2.276666667,1.476666667,3428.166667,5.258333333,5.033333333,572.8666667,59.5,0.053333333,26.69666667,1.703333333,8.166666667,13.83333333,4,0.166666667,140.5666667,1.875,4.833333333,2.483333333,2.333333333,4.833333333,3.833333333,10.66666667,215.1666667,5.635,115.735,1.575,1,2.44,5.666666667,3.833333333,17.96666667,0.27,24.27666667,1.833333333,0.166666667,2,1.833333333,4601,10.56,263,9.53,622.32,8384.9,13.66,8.86,20569,31.55,30.2,3437.2,357,0.32,160.18,10.22,49,83,24,1,843.4,11.25,29,14.9,14,29,23,64,1291,33.81,694.41,9.45,6,14.64,34,23,107.8,1.62,145.66,11,1,12,11,565,1.77,24,1.95,61.16,2588,3.52,1.09,8643,6.78,1.84,769.6,84,0.07,6.63,1.52,10,1,4,1,160,1.76,2,3.21,4,6,5,15,340,4.6,376.3,1.45,3,3.44,11,5,55.8,0.13,96.28,10,1,4,1,2.4
CdTe,868.5,1.84,50,1.42,120.005,1150.55,1.675,1.415,2644.5,7.445,4.68,658.35,80,0.065,25.685,1.765,0,14,4,0,114.75,1.895,5,1.945,2,5,3.5,14,154.5,11.84,76.06,1.475,0.5,3.22,9,2,6.35,0.215,49.575,10,0,2,2,1737,3.68,100,2.84,240.01,2301.1,3.35,2.83,5289,14.89,9.36,1316.7,160,0.13,51.37,3.53,0,28,8,0,229.5,3.79,10,3.89,4,10,7,28,309,23.68,152.12,2.95,1,6.44,18,4,12.7,0.43,99.15,20,0,4,4,1,0.64,4,0.38,15.19,224.8,1.03,0.13,631,2.41,1.52,128.6,20,0.03,0.33,0.63,0,0,4,0,7.3,0.41,0,0.55,4,2,5,4,85,11.3,47.02,0.15,1,2.44,6,0,1.7,0.03,94.45,0,0,4,0,1.5494375
RbCd4Ga5Se12,821,2.034090909,36,1.284090909,83.23772727,1363.195455,2.23,1.284090909,3323.5,5.595909091,4.947272727,458.4,78.27272727,0.066363636,25.75727273,1.915909091,8.181818182,14,3.590909091,0.045454545,110.4954545,2.146818182,4.227272727,1.68,2.454545455,5.727272727,4.181818182,13.90909091,213.0909091,6.144545455,100.7454545,1.311363636,0.772727273,2.725454545,6.181818182,4.363636364,7.372727273,0.316818182,29.75636364,1.818181818,0,2.409090909,1.954545455,18062,44.75,792,28.25,1831.23,29990.3,49.06,28.25,73117,123.11,108.84,10084.8,1722,1.46,566.66,42.15,180,308,79,1,2430.9,47.23,93,36.96,54,126,92,306,4688,135.18,2216.4,28.85,17,59.96,136,96,162.2,6.97,654.64,40,0,53,43,538,1.72,17,1.62,42.69,1718,1.96,0.95,5863,7.12,2.57,291.1,85,0.06,5.75,1.48,10,0,4,1,136.9,1.73,1,2.81,4,6,5,15,200,4.5,221,1.2,1,3.44,11,5,43.5,0.14,96.28,10,0,4,1,2.19
Cs10Cd4Sn4S17,773.3714286,1.828285714,34.68571429,1.628571429,79.96485714,1027.147143,2.104285714,1.468571429,2194.114286,3.363714286,5.079714286,399.2414286,61.31428571,0.048,26.20828571,1.795142857,7.714285714,14,3.828571429,0.285714286,138.9885714,1.896,4.314285714,2.234285714,2.457142857,4.714285714,3.771428571,11.02857143,205.4,2.943428571,69.29942857,1.571428571,0.6,2.221714286,5.028571429,3.657142857,20.14,0.466,29.06257143,2.285714286,0,2.171428571,1.714285714,27068,63.99,1214,57,2798.77,35950.15,73.65,51.4,76794,117.73,177.79,13973.45,2146,1.68,917.29,62.83,270,490,134,10,4864.6,66.36,151,78.2,86,165,132,386,7189,103.02,2425.48,55,21,77.76,176,128,704.9,16.31,1017.19,80,0,76,60,624,1.93,39,2.1,100.84,1825.3,2.34,1.23,4495,6.78,1.93,292.5,83,0.07,9.13,1.7,10,0,4,1,170.8,1.79,3,3.21,4,6,5,15,223,5.31,286,1.6,1,3.44,11,5,56.7,0.48,96.53,10,0,4,1,3.16
RbScSe2O6,1080.2,2.842,17.4,0.943,38.435,652.15,2.539,1.025,1193.448,1.41,6.8,343.5,71.5,0.021,19.685,2.834,9.9,14,2.8,0.1,83.93,2.792,2.9,1.225,3.4,6,5,13.2,241.2,3.099,48.228,0.985,1,0.8,5.2,5.1,7.744,0.712,7.522,0.1,0,3.2,1.9,10802,28.42,174,9.43,384.35,6521.5,25.39,10.25,11934.48,14.1,68,3435,715,0.21,196.85,28.34,99,140,28,1,839.3,27.92,29,12.25,34,60,50,132,2412,30.99,482.28,9.85,10,8,52,51,77.44,7.12,75.22,1,0,32,19,911,2.9,29,2.17,69.47,3015,3.05,1.38,5245.42,4.79,5.3,1759.4,85,0.07,16.3,2.79,1,0,4,1,183.7,2.62,3,3.63,3,6,5,15,292,13.88,310.79,1.75,2,3,5,5,46.51,0.6,58.17,1,0,4,1,4.9
InS,779,2.125,32.5,1.22,73.445,1535.5,2.685,1.23,4022,4.69,5.04,407.85,81.5,0.06,24.59,2.005,5,14,3.5,0,109.6,2.18,4,1.575,2.5,6,4.5,14.5,261,2.49,120.65,1.275,1,2.72,4.5,4,6.3,0.47,40.935,5,0,2.5,2,1558,4.25,65,2.44,146.89,3071,5.37,2.46,8044,9.38,10.08,815.7,163,0.12,49.18,4.01,10,28,7,0,219.2,4.36,8,3.15,5,12,9,29,522,4.98,241.3,2.55,2,5.44,9,8,12.6,0.94,81.87,10,0,5,4,442,0.93,33,0.68,82.75,1635.3,0.33,0.42,5416,5.24,1.62,43.8,13,0,3.64,0.97,10,0,3,0,57.2,0.8,2,0.95,3,2,3,3,36,1.54,221.7,0.55,0,1.44,3,4,6.8,0.48,81.33,10,0,3,0,2.0125
Hg4As2.5InBr3.5,994.8636364,2.149090909,52.18181818,1.321818182,125.83,750.9954545,1.533636364,1.305909091,1905.818182,7.868636364,6.597963636,456.6318182,81.95454545,0.060836364,30.18209455,1.992272727,5.454545455,8.909090909,3.636363636,0,103.3363636,2.326363636,4.818181818,1.767272727,2.363636364,5.818181818,4,14.36363636,148.5454545,9.109545455,55.396,1.313636364,1.363636364,2.609090909,8,4.272727273,4.809090909,0.296,21.85272727,4.545454545,5.090909091,2.363636364,2,10943.5,23.64,574,14.54,1384.13,8260.95,16.87,14.365,20964,86.555,72.5776,5022.95,901.5,0.6692,332.00304,21.915,60,98,40,0,1136.7,25.59,53,19.44,26,64,44,158,1634,100.205,609.356,14.45,15,28.7,88,47,52.9,3.256,240.38,50,56,26,22,582,1.03,47,0.77,125.67,2021.2,2.29,0.35,6146,10.38,4.0169,855.9,24,0.04,13.07,1.04,10,14,5,0,53.1,1.18,2,1.21,5,4,6,5,241,25.405,216.06,0.4,1,4.44,9,5,6.6,0.331,81.48,10,14,5,0,1.71
SbSeBr,971.6666667,2.366666667,40,1.1,93.54,1171.083333,2.143333333,1.226666667,2470.333333,4.866666667,5.723333333,553.4166667,89.66666667,0.05,29.54333333,2.25,6.666666667,14,2,0,98.73333333,2.52,4.333333333,1.42,4,7,6,16,200.3333333,10.61666667,43.42666667,1.25,1,1.666666667,6,5,4.5,0.333333333,8.313333333,3.333333333,0,4,2,2915,7.1,120,3.3,280.62,3513.25,6.43,3.68,7411,14.6,17.17,1660.25,269,0.15,88.63,6.75,20,42,6,0,296.2,7.56,13,4.26,12,21,18,48,601,31.85,130.28,3.75,3,5,18,15,13.5,1,24.94,10,0,12,6,306,0.71,17,0.39,42.8,1891.2,1.53,0.24,4486,3.57,1.41,638.2,10,0.02,12.52,0.68,10,0,2,0,34.2,0.91,1,0.57,2,2,2,2,150,14.58,61.7,0.3,0,3,2,5,3.5,0.26,24.18,10,0,2,0,1.855
OsSbS,891,2.073333333,47.66666667,1.353333333,114.6866667,2748.05,4.59,1.226666667,6361.333333,10.45333333,6.027833333,1536.083333,76.66666667,0.076333333,24.35663333,1.92,4.666666667,9.333333333,3.666666667,0,108.9666667,2.276666667,4.666666667,1.84,4.333333333,5.666666667,5.333333333,13,444,17.79666667,277.6466667,1.25,1.333333333,3.593333333,6.333333333,3.333333333,6,0.35,37.39,5.333333333,4.666666667,2.333333333,2,2673,6.22,143,4.06,344.06,8244.15,13.77,3.68,19084,31.36,18.0835,4608.25,230,0.229,73.0699,5.76,14,28,11,0,326.9,6.83,14,5.52,13,17,16,39,1332,53.39,832.94,3.75,4,10.78,19,10,18,1.05,112.17,16,14,7,6,166,0.94,60,0.97,158.16,4585.3,5.42,0.36,11386,20.53,2.2335,2932.2,31,0.069,2.8,1.1,10,14,4,0,45.6,0.53,3,1.55,3,3,1,8,529,30.08,736.2,0.45,1,3.78,3,4,5.6,0.58,87.33,10,14,4,0,1.2
V2O5,1124.571429,3.015714286,12.28571429,0.831428571,25.98285714,1108.15,3.388571429,0.878571429,1804.7,1.745714286,6.892857143,657.15,75.28571429,0.034285714,17.64571429,2.948571429,9.142857143,14,3.142857143,0,72.17142857,2.922857143,2.571428571,1.03,3.714285714,6.142857143,5.142857143,12.85714286,324.7142857,6.128571429,131.8642857,0.814285714,1.285714286,1.428571429,5.714285714,4.857142857,4.107142857,0.797142857,8.792857143,0.857142857,0,2.857142857,2,7872,21.11,86,5.82,181.88,7757.05,23.72,6.15,12632.9,12.22,48.25,4600.05,527,0.24,123.52,20.64,64,98,22,0,505.2,20.46,18,7.21,26,43,36,90,2273,42.9,923.05,5.7,9,10,40,34,28.75,5.58,61.55,6,0,20,14,663,2.08,15,1.23,34.94,3563,2.69,0.52,5775.42,6.11,5.17,2108.4,41,0.12,10.24,2.35,3,0,4,0,95.1,1.81,2,1.96,1,3,3,11,265,20.68,449.59,0.75,1,5,1,4,11.61,0.43,30.67,3,0,4,0,2.391666667
Cu3TbTe3,773,1.874285714,44,1.47,104.6250486,2258.921429,3.012857143,1.397142857,4531.428571,7.69,4.648285714,1124.935714,70.14285714,0.088828571,25.37379446,1.692857143,1.428571429,12.71428571,4.285714286,0.428571429,124.0142857,1.885714286,4.714285714,2.145714286,3,4.714285714,3.857142857,12,284.8571429,14.63142857,198.4928571,1.428571429,1.714285714,3.617142857,7.714285714,1.571428571,8.871428571,0.274285714,174.45,8.571428571,1.285714286,1.714285714,1.571428571,5411,13.12,308,10.29,732.37534,15812.45,21.09,9.78,31720,53.83,32.538,7874.55,491,0.6218,177.6165612,11.85,10,89,30,3,868.1,13.2,33,15.02,21,33,27,84,1994,102.42,1389.45,10,12,25.32,54,11,62.1,1.92,1221.15,60,9,12,11,300,1.07,36,1.02,95.37534,2240.2,1.86,0.24,6141,2.72,1.78,915.5,61,0.09,4.4565612,1,10,9,4,1,66.4,0.9,2,2.22,9,3,4,13,192,6.69,278.35,0.4,2,3.44,8,1,20,0.2,398.65,10,9,4,1,0.46
